"p77777";"Ahmed Hegazy";"Defender";"Fiorentina";"200000";"VL"
"p56999";"Milan Badelj";"Midfielder";"Fiorentina";"200000";"VL"
"p33036";"Juan Vargas";"Midfielder";"Fiorentina";"200000";"VL"
"p7459";"David Pizarro";"Midfielder";"Fiorentina";"200000";"VL"
"p41450";"Marko Marin";"Midfielder";"Fiorentina";"200000";"VL"
"p18372";"Alberto Aquilani";"Midfielder";"Fiorentina";"200000";"VL"
"p66733";"Juan Guillermo Cuadrado";"Midfielder";"Fiorentina";"200000";"H"
"p49866";"Oleksandr Iakovenko";"Midfielder";"Fiorentina";"200000";"VL"
"p33176";"Matías Fernández";"Midfielder";"Fiorentina";"200000";"VL"
"p92519";"Jasmin Kurtic";"Midfielder";"Fiorentina";"200000";"VL"
"p10316";"Joaquín";"Midfielder";"Fiorentina";"200000";"VL"
"p27794";"Borja Valero";"Midfielder";"Fiorentina";"200000";"M"
"p131966";"Joshua Brillante";"Midfielder";"Fiorentina";"200000";"VL"
"p18227";"Andrea Lazzari";"Midfielder";"Fiorentina";"200000";"VL"
"p195559";"Jacopo Petriccione";"Midfielder";"Fiorentina";"200000";"VL"
"p55712";"Josip Ilicic";"Midfielder";"Fiorentina";"200000";"VL"
"p162755";"Octávio";"Midfielder";"Fiorentina";"200000";"VL"
"p18222";"Giuseppe Rossi";"Forward";"Fiorentina";"200000";"M"
"p147297";"Federico Bernardeschi";"Forward";"Fiorentina";"200000";"VL"
"p71032";"Khouma Babacar";"Forward";"Fiorentina";"200000";"VL"
"p17884";"Mario Gomez";"Forward";"Fiorentina";"200000";"L"
"p14229";"Mounir El Hamdaoui";"Forward";"Fiorentina";"200000";"VL"
"p87995";"Mattia Perin";"Goalkeeper";"Genoa";"200000";"L"
"p56386";"Eugenio Lamanna";"Goalkeeper";"Genoa";"200000";"VL"
"p195561";"Daniele Sommariva";"Goalkeeper";"Genoa";"200000";"VL"
"p17311";"Luca Antonini";"Defender";"Genoa";"200000";"VL"
"p39781";"Sebastien De Maio";"Defender";"Genoa";"200000";"VL"
"p105119";"Armando Izzo";"Defender";"Genoa";"200000";"VL"
"p18101";"Nicolas Burdisso";"Defender";"Genoa";"200000";"VL"
"p39999";"Luca Antonelli";"Defender";"Genoa";"200000";"VL"
"p54794";"Facundo Roncaglia";"Defender";"Genoa";"200000";"VL"
"p21133";"Giovanni Marchese";"Defender";"Genoa";"200000";"VL"
"p100536";"Edenilson";"Defender";"Genoa";"200000";"VL"
"p195560";"Paolo Parente";"Defender";"Genoa";"200000";"VL"
"p20069";"Aleandro Rosi";"Defender";"Genoa";"200000";"VL"
"p50933";"Tomás Rincón";"Defender";"Genoa";"200000";"VL"
"p58834";"Rodney Strasser";"Midfielder";"Genoa";"200000";"VL"
"p55340";"Diego Perotti";"Midfielder";"Genoa";"200000";"VL"
"p59054";"Maxime Lestienne";"Midfielder";"Genoa";"200000";"L"
"p78937";"Ioannis Fetfatzidis";"Midfielder";"Genoa";"200000";"VL"
"p20120";"Leandro Greco";"Midfielder";"Genoa";"200000";"VL"
"p12436";"Mario Santana";"Midfielder";"Genoa";"200000";"VL"
"p51960";"Iago Falque";"Midfielder";"Genoa";"200000";"VL"
"p69143";"Juraj Kucka";"Midfielder";"Genoa";"200000";"VL"
"p182514";"Rolando Mandragora";"Midfielder";"Genoa";"200000";"VL"
"p94751";"Stefano Sturaro";"Midfielder";"Genoa";"200000";"VL"
"p60073";"Andrea Bertolacci";"Midfielder";"Genoa";"200000";"VL"
"p167304";"Franco Mussis";"Midfielder";"Genoa";"200000";"VL"
"p17176";"Mauricio Pinilla";"Forward";"Genoa";"200000";"VL"
"p16765";"Alessandro Matri";"Forward";"Genoa";"200000";"VL"
"p171400";"Giuseppe Panico";"Forward";"Genoa";"200000";"VL"
"p18383";"Samir Handanovic";"Goalkeeper";"Internazionale";"200000";"M"
"p42947";"Juan Pablo Carrizo";"Goalkeeper";"Internazionale";"200000";"VL"
"p14216";"Tommaso Berni";"Goalkeeper";"Internazionale";"200000";"VL"
"p53406";"Jonathan";"Defender";"Internazionale";"200000";"VL"
"p91990";"Juan Jesus";"Defender";"Internazionale";"200000";"L"
"p20074";"Marco Andreolli";"Defender";"Internazionale";"200000";"VL"
"p14880";"Hugo Campagnaro";"Defender";"Internazionale";"200000";"VL"
"p14965";"Nemanja Vidic";"Defender";"Internazionale";"200000";"VL"
"p86371";"Dodô";"Defender";"Internazionale";"200000";"VL"
"p39167";"Andrea Ranocchia";"Defender";"Internazionale";"200000";"L"
"p119908";"Ibrahima Mbaye";"Defender";"Internazionale";"200000";"VL"
"p39826";"Danilo D&apos;Ambrosio";"Defender";"Internazionale";"200000";"VL"
"p146333";"Isaac Donkor";"Defender";"Internazionale";"200000";"VL"
"p78407";"Yuto Nagatomo";"Defender";"Internazionale";"200000";"L"
"p91651";"Mateo Kovacic";"Midfielder";"Internazionale";"200000";"L"
"p37399";"Fredy Guarín";"Midfielder";"Internazionale";"200000";"L"
"p34700";"Zdravko Kuzmanovic";"Midfielder";"Internazionale";"200000";"VL"
"p48853";"Gary Medel";"Midfielder";"Internazionale";"200000";"L"
"p60068";"Joel Obi";"Midfielder";"Internazionale";"200000";"VL"
"p60070";"René Krhin";"Midfielder";"Internazionale";"200000";"VL"
"p49822";"Hernanes";"Midfielder";"Internazionale";"200000";"M"
"p49396";"Yann M&apos;Vila";"Midfielder";"Internazionale";"200000";"L"
"p37979";"Pablo Daniel Osvaldo";"Forward";"Internazionale";"200000";"L"
"p20153";"Rodrigo Palacio";"Forward";"Internazionale";"200000";"L"
"p106109";"Mauro Icardi";"Forward";"Internazionale";"200000";"L"
"p161932";"Federico Bonazzoli";"Forward";"Internazionale";"200000";"VL"
"p4126";"Gianluigi Buffon";"Goalkeeper";"Juventus";"200000";"VL"
"p18409";"Marco Storari";"Goalkeeper";"Juventus";"200000";"VL"
"p39637";"Rubinho";"Goalkeeper";"Juventus";"200000";"VL"
"p193509";"Emil Audero";"Goalkeeper";"Juventus";"200000";"VL"
"p18102";"Giorgio Chiellini";"Defender";"Juventus";"200000";"L"
"p43693";"Martín Cáceres";"Defender";"Juventus";"200000";"L"
"p40669";"Angelo Ogbonna";"Defender";"Juventus";"200000";"L"
"p17172";"Andrea Barzagli";"Defender";"Juventus";"200000";"VL"
"p19713";"Marco Motta";"Defender";"Juventus";"200000";"VL"
"p28277";"Leonardo Bonucci";"Defender";"Juventus";"200000";"L"
"p27335";"Stephan Lichtsteiner";"Defender";"Juventus";"200000";"L"
"p14075";"Patrice Evra";"Defender";"Juventus";"200000";"VL"
"p72738";"Rômulo";"Midfielder";"Juventus";"200000";"VL"
"p74208";"Paul Pogba";"Midfielder";"Juventus";"200000";"VH"
"p10626";"Simone Pepe";"Midfielder";"Juventus";"200000";"VL"
"p20113";"Claudio Marchisio";"Midfielder";"Juventus";"200000";"M"
"p129508";"Kingsley Coman";"Midfielder";"Juventus";"200000";"VL"
"p14723";"Simone Padoin";"Midfielder";"Juventus";"200000";"VL"
"p7313";"Andrea Pirlo";"Midfielder";"Juventus";"200000";"VL"
"p49485";"Kwadwo Asamoah";"Midfielder";"Juventus";"200000";"VL"
"p42565";"Arturo Vidal";"Midfielder";"Juventus";"200000";"VH"
"p61566";"Roberto Pereyra";"Midfielder";"Juventus";"200000";"L"
"p141563";"Federico Mattiello";"Midfielder";"Juventus";"200000";"VL"
"p60017";"Luca Marrone";"Midfielder";"Juventus";"200000";"VL"
"p88482";"Álvaro Morata";"Forward";"Juventus";"200000";"L"
"p20312";"Carlos Tévez";"Forward";"Juventus";"200000";"M"
"p40283";"Sebastian Giovinco";"Forward";"Juventus";"200000";"L"
"p19760";"Fernando Llorente";"Forward";"Juventus";"200000";"M"
"p61824";"Etrit Berisha";"Goalkeeper";"Lazio";"200000";"VL"
"p38479";"Federico Marchetti";"Goalkeeper";"Lazio";"200000";"L"
"p141219";"Guido Guerrieri";"Goalkeeper";"Lazio";"200000";"VL"
"p140200";"Thomas Strakosha";"Goalkeeper";"Lazio";"200000";"VL"
"p37740";"Michaël Ciani";"Defender";"Lazio";"200000";"VL"
"p78140";"Stefan de Vrij";"Defender";"Lazio";"200000";"L"
"p39216";"Edson Braafheid";"Defender";"Lazio";"200000";"VL"
"p20007";"Dusan Basta";"Defender";"Lazio";"200000";"VL"
"p17886";"Abdoulay Konko";"Defender";"Lazio";"200000";"VL"
"p86055";"Santiago Gentiletti";"Defender";"Lazio";"200000";"VL"
"p112269";"Riccardo Serpieri";"Defender";"Lazio";"200000";"VL"
"p27353";"Stefan Radu";"Defender";"Lazio";"200000";"L"
"p16106";"Lorik Cana";"Defender";"Lazio";"200000";"VL"
"p78272";"Luis Pedro Cavanda";"Defender";"Lazio";"200000";"VL"
"p72073";"Diego Novaretti";"Defender";"Lazio";"200000";"VL"
"p60826";"Riccardo Perpetuini";"Midfielder";"Lazio";"200000";"VL"
"p13501";"Stefano Mauri";"Midfielder";"Lazio";"200000";"VL"
"p101537";"Felipe Anderson";"Midfielder";"Lazio";"200000";"VL"
"p37919";"Honorato Ederson";"Midfielder";"Lazio";"200000";"VL"
"p48863";"Álvaro González";"Midfielder";"Lazio";"200000";"VL"
"p51221";"Marco Parolo";"Midfielder";"Lazio";"200000";"VL"
"p40628";"Bruno Pereirinha";"Midfielder";"Lazio";"200000";"VL"
"p52049";"Senad Lulic";"Midfielder";"Lazio";"200000";"L"
"p39462";"Lucas Biglia";"Midfielder";"Lazio";"200000";"VL"
"p116120";"Ogenyi Onazi";"Midfielder";"Lazio";"200000";"VL"
"p11871";"Cristian Ledesma";"Midfielder";"Lazio";"200000";"VL"
"p130963";"Danilo Cataldi";"Midfielder";"Lazio";"200000";"VL"
"p45156";"Antonio Candreva";"Midfielder";"Lazio";"200000";"M"
"p157732";"Milos Antic";"Midfielder";"Lazio";"200000";"VL"
"p13510";"Giuseppe Sculli";"Forward";"Lazio";"200000";"VL"
"p49498";"Filip Djordjevic";"Forward";"Lazio";"200000";"VL"
"p5155";"Miroslav Klose";"Forward";"Lazio";"200000";"VL"
"p156708";"Keita";"Forward";"Lazio";"200000";"L"
"p169026";"Mamadou Tounkara";"Forward";"Lazio";"200000";"VL"
"p14509";"Michael Agazzi";"Goalkeeper";"Milan";"200000";"VL"
"p16021";"Diego López";"Goalkeeper";"Milan";"200000";"L"
"p4242";"Christian Abbiati";"Goalkeeper";"Milan";"200000";"VL"
"p107013";"Mattia De Sciglio";"Defender";"Milan";"200000";"L"
"p6274";"Philippe Mexes";"Defender";"Milan";"200000";"VL"
"p41795";"Adil Rami";"Defender";"Milan";"200000";"L"
"p41352";"Michelangelo Albertazzi";"Defender";"Milan";"200000";"VL"
"p27300";"Cristian Zapata";"Defender";"Milan";"200000";"VL"
"p18547";"Ignazio Abate";"Defender";"Milan";"200000";"L"
"p7261";"Daniele Bonera";"Defender";"Milan";"200000";"VL"
"p50369";"Pablo Armero";"Defender";"Milan";"200000";"VL"
"p18658";"Alex";"Defender";"Milan";"200000";"VL"
"p7200";"Cristian Zaccardo";"Defender";"Milan";"200000";"VL"
"p14791";"Sulley Ali Muntari";"Midfielder";"Milan";"200000";"VL"
"p57107";"Riccardo Saponara";"Midfielder";"Milan";"200000";"VL"
"p8442";"Michael Essien";"Midfielder";"Milan";"200000";"VL"
"p39830";"Andrea Poli";"Midfielder";"Milan";"200000";"L"
"p18229";"Riccardo Montolivo";"Midfielder";"Milan";"200000";"L"
"p82660";"Marco Van Ginkel";"Midfielder";"Milan";"200000";"VL"
"p49417";"Giacomo Bonaventura";"Midfielder";"Milan";"200000";"L"
"p15076";"Nigel de Jong";"Midfielder";"Milan";"200000";"L"
"p19500";"Jérémy Menez";"Forward";"Milan";"200000";"L"
"p14402";"Fernando Torres";"Forward";"Milan";"200000";"L"
"p49657";"Keisuke Honda";"Forward";"Milan";"200000";"L"
"p18231";"Giampaolo Pazzini";"Forward";"Milan";"200000";"L"
"p96764";"M&apos;Baye Niang";"Forward";"Milan";"200000";"VL"
"p58928";"Stephan El Shaarawy";"Forward";"Milan";"200000";"M"
"p185076";"Hachim Mastour";"Forward";"Milan";"200000";"VL"
"p61239";"Rafael Cabral";"Goalkeeper";"Napoli";"200000";"VL"
"p177880";"Nikita Contini";"Goalkeeper";"Napoli";"200000";"VL"
"p38556";"Roberto Colombo";"Goalkeeper";"Napoli";"200000";"VL"
"p21150";"Mariano Andujar";"Goalkeeper";"Napoli";"200000";"VL"
"p17192";"Antonio Rosati";"Goalkeeper";"Napoli";"200000";"VL"
"p50038";"Henrique";"Defender";"Napoli";"200000";"VL"
"p52153";"Miguel Britos";"Defender";"Napoli";"200000";"VL"
"p8522";"Christian Maggio";"Defender";"Napoli";"200000";"VL"
"p14739";"Giandomenico Mesto";"Defender";"Napoli";"200000";"VL"
"p42738";"Juan Zuñiga";"Defender";"Napoli";"200000";"L"
"p86129";"Kalidou Koulibaly";"Defender";"Napoli";"200000";"VL"
"p88746";"Faouzi Ghoulam";"Defender";"Napoli";"200000";"VL"
"p18003";"Raúl Albiol";"Defender";"Napoli";"200000";"L"
"p39204";"Jonathan de Guzmán";"Midfielder";"Napoli";"200000";"L"
"p85955";"Jorginho";"Midfielder";"Napoli";"200000";"L"
"p54917";"Dries Mertens";"Midfielder";"Napoli";"200000";"VL"
"p19802";"Marek Hamsik";"Midfielder";"Napoli";"200000";"H"
"p11129";"David López";"Midfielder";"Napoli";"200000";"VL"
"p112340";"Josip Radosevic";"Midfielder";"Napoli";"200000";"VL"
"p37510";"Walter Gargano";"Midfielder";"Napoli";"200000";"VL"
"p40772";"Gökhan Inler";"Midfielder";"Napoli";"200000";"L"
"p51732";"José Callejón";"Forward";"Napoli";"200000";"M"
"p40232";"Gonzalo Higuaín";"Forward";"Napoli";"200000";"VH"
"p54322";"Michu";"Forward";"Napoli";"200000";"L"
"p75592";"Lorenzo Insigne";"Forward";"Napoli";"200000";"L"
"p103086";"Duván Zapata";"Forward";"Napoli";"200000";"VL"
"p42825";"Samir Ujkani";"Goalkeeper";"Palermo";"200000";"VL"
"p146669";"Andrea Fulignati";"Goalkeeper";"Palermo";"200000";"VL"
"p10974";"Stefano Sorrentino";"Goalkeeper";"Palermo";"200000";"VL"
"p18401";"Salvatore Aronica";"Defender";"Palermo";"200000";"VL"
"p38866";"Roberto Vitiello";"Defender";"Palermo";"200000";"VL"
"p46847";"Eros Pisano";"Defender";"Palermo";"200000";"VL"
"p67604";"Sinisa Andjelkovic";"Defender";"Palermo";"200000";"VL"
"p51106";"Milan Milanovic";"Defender";"Palermo";"200000";"VL"
"p54795";"Ezequiel Muñoz";"Defender";"Palermo";"200000";"VL"
"p79479";"Achraf Lazaar";"Defender";"Palermo";"200000";"VL"
"p105021";"Giancarlo Gonzalez";"Defender";"Palermo";"200000";"VL"
"p109533";"Emerson";"Defender";"Palermo";"200000";"VL"
"p12026";"Claudio Terzi";"Defender";"Palermo";"200000";"VL"
"p19523";"Sol Bamba";"Defender";"Palermo";"200000";"VL"
"p89747";"Zouhair Feddal";"Defender";"Palermo";"200000";"VL"
"p49905";"Fabio Daprelà";"Defender";"Palermo";"200000";"VL"
"p169470";"Davide Monteleone";"Defender";"Palermo";"200000";"VL"
"p42161";"Michel Morganella";"Defender";"Palermo";"200000";"VL"
"p14404";"Edgar Barreto";"Midfielder";"Palermo";"200000";"VL"
"p19939";"Francesco Della Rocca";"Midfielder";"Palermo";"200000";"VL"
"p41296";"Francesco Bolzoni";"Midfielder";"Palermo";"200000";"VL"
"p40498";"Granddi N&apos;Goyi";"Midfielder";"Palermo";"200000";"VL"
"p164167";"Ivaylo Chochev";"Midfielder";"Palermo";"200000";"VL"
"p100731";"Franco Vázquez";"Midfielder";"Palermo";"200000";"VL"
"p103578";"Robin Quaison";"Midfielder";"Palermo";"200000";"VL"
"p1037";"Enzo Maresca";"Midfielder";"Palermo";"200000";"VL"
